"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"cn.printf.jmhreports.AutoBoxBenchmark.boxDataType","thrpt",8,5,355604417.805517,38111974.961337,"ops/s"
"cn.printf.jmhreports.AutoBoxBenchmark.primaryDataType","thrpt",8,5,9761063096.208640,633693725.766524,"ops/s"
"cn.printf.jmhreports.CacheValueBenchmark.getListSizeInLoopEveryTime","thrpt",8,5,459046033.596957,55952952.796737,"ops/s"
"cn.printf.jmhreports.CacheValueBenchmark.getListSizeInLoopOnlyOnce","thrpt",8,5,401148897.059666,171847309.444212,"ops/s"
"cn.printf.jmhreports.CollectionBenchmark.giveCertainInitialCapacityForCollection","thrpt",8,5,12052785.967521,2273630.115900,"ops/s"
"cn.printf.jmhreports.CollectionBenchmark.noCertainInitialCapacityForCollection","thrpt",8,5,7711896.917781,2377347.436634,"ops/s"
"cn.printf.jmhreports.LoopBenchmark.createObjectInLoop","thrpt",8,5,8959981523.322378,874246825.755501,"ops/s"
"cn.printf.jmhreports.LoopBenchmark.reuseObjectInLoop","thrpt",8,5,9423782212.994150,1156482053.699004,"ops/s"
"cn.printf.jmhreports.PrimaryTypeToStringBenchmark.primaryTypeToStringByPlusOperator","thrpt",8,5,17943203761.900680,2340899772.146725,"ops/s"
"cn.printf.jmhreports.PrimaryTypeToStringBenchmark.primaryTypeToStringByToStringMethod","thrpt",8,5,400927115.576240,115810873.394338,"ops/s"
"cn.printf.jmhreports.PrimaryTypeToStringBenchmark.primaryTypeToStringByValueOf","thrpt",8,5,378502720.973468,125883351.555296,"ops/s"
"cn.printf.jmhreports.StringBenchmark.constructStringByAssignment","thrpt",8,5,231612.501336,2263.846382,"ops/s"
"cn.printf.jmhreports.StringBenchmark.constructStringByConstructor","thrpt",8,5,225375.508034,50322.264181,"ops/s"
"cn.printf.jmhreports.StringBenchmark.constructStringByStringBuffer","thrpt",8,5,67189869.040028,2841281.211049,"ops/s"
"cn.printf.jmhreports.StringBenchmark.constructStringByStringBuilder","thrpt",8,5,86735904.080835,2023638.540364,"ops/s"
